HS_CODE,ship_type
01012100,Container
01012900,Container
01013000,Container
01019000,Container
01022100,Container
01022900,Container
01023100,Container
01023900,Container
01029000,Container
01031000,Container
01039100,Container
01039200,Container
01041010,Container
01041090,Container
01042010,Container
01042090,Container
01051100,Container
01051200,Container
01051300,Container
01051400,Container
01051500,Container
01059400,Container
01059900,Container
01061100,Container
01061200,Container
01061300,Container
01061400,Container
01061900,Container
01062000,Container
01063100,Container
01063200,Container
01063300,Container
01063900,Container
01064100,Container
01064900,Container
01069000,Container
02011000,Container
02012000,Container
02013000,Container
02021000,Container
02022000,Container
02023000,Container
02031100,Container
02031200,Container
02031900,Container
02032100,Container
02032200,Container
02032900,Container
02041000,Container
02042100,Container
02042200,Container
02042300,Container
02043000,Container
02044100,Container
02044200,Container
02044300,Container
02045000,Container
02050000,Container
02061000,Container
02062100,Container
02062200,Container
02062900,Container
02063000,Container
02064100,Container
02064900,Container
02068000,Container
02069000,Container
02071100,Container
02071200,Container
02071300,Container
02071400,Container
02072400,Container
02072500,Container
02072600,Container
02072700,Container
02074100,Container
02074200,Container
02074300,Container
02074400,Container
02074500,Container
02075100,Container
02075200,Container
02075300,Container
02075400,Container
02075500,Container
02076000,Container
02081000,Container
02083000,Container
02084000,Container
02085000,Container
02086000,Container
02089000,Container
02091000,Container
02099000,Container
02101100,Container
02101200,Container
02101900,Container
02102000,Container
02109100,Container
02109200,Container
02109300,Container
02109900,Container
03011100,Container
03011900,Container
03019100,Container
03019200,Container
03019300,Container
03019400,Container
03019500,Container
03019900,Container
03021100,Container
03021300,Container
03021400,Container
03021900,Container
03022100,Container
03022200,Container
03022300,Container
03022400,Container
03022900,Container
03023100,Container
03023200,Container
03023300,Container
03023400,Container
03023500,Container
03023600,Container
03023900,Container
03024100,Container
03024200,Container
03024300,Container
03024400,Container
03024500,Container
03024600,Container
03024700,Container
03024900,Container
03025100,Container
03025200,Container
03025300,Container
03025400,Container
03025500,Container
03025600,Container
03025900,Container
03027100,Container
03027200,Container
03027300,Container
03027400,Container
03027900,Container
03028100,Container
03028200,Container
03028300,Container
03028400,Container
03028500,Container
03028900,Container
03029100,Container
03029200,Container
03029900,Container
03031100,Container
03031200,Container
03031300,Container
03031400,Container
03031900,Container
03032300,Container
03032400,Container
03032500,Container
03032600,Container
03032900,Container
03033100,Container
03033200,Container
03033300,Container
03033400,Container
03033900,Container
03034100,Container
03034200,Container
03034300,Container
03034400,Container
03034500,Container
03034600,Container
03034900,Container
03035100,Container
03035300,Container
03035400,Container
03035500,Container
03035600,Container
03035700,Container
03035900,Container
03036300,Container
03036400,Container
03036500,Container
03036600,Container
03036700,Container
03036800,Container
03036900,Container
03038100,Container
03038200,Container
03038300,Container
03038400,Container
03038900,Container
03039100,Container
03039200,Container
03039900,Container
03043100,Container
03043200,Container
03043300,Container
03043900,Container
03044100,Container
03044200,Container
03044300,Container
03044400,Container
03044500,Container
03044600,Container
03044700,Container
03044800,Container
03044900,Container
03045100,Container
03045200,Container
03045300,Container
03045400,Container
03045500,Container
03045600,Container
03045700,Container
03045900,Container
03046100,Container
03046200,Container
03046300,Container
03046900,Container
03047100,Container
03047200,Container
03047300,Container
03047400,Container
03047500,Container
03047900,Container
03048100,Container
03048200,Container
03048300,Container
03048400,Container
03048500,Container
03048600,Container
03048700,Container
03048800,Container
